underlying_symbol,datetime,trading_date,volume,high,close,low,total_turnover,open_interest,open,dominant_id
IM,2022-07-22 09:45:00,2022-07-22,2597.0,7085.2,7055.8,7041.0,3670919280.0,2262.0,7050.0,IM2208
IM,2022-07-22 10:00:00,2022-07-22,2290.0,7056.8,6995.4,6985.0,3211522080.0,4104.0,7055.8,IM2208
IM,2022-07-22 10:15:00,2022-07-22,1423.0,7024.4,7016.0,6992.6,1995634840.0,5363.0,6995.4,IM2208
IM,2022-07-22 10:30:00,2022-07-22,1391.0,7053.8,7048.0,7009.0,1956265720.0,6622.0,7015.0,IM2208
IM,2022-07-22 10:45:00,2022-07-22,1120.0,7047.8,7029.0,7025.0,1575723480.0,7632.0,7047.8,IM2208
IM,2022-07-22 11:00:00,2022-07-22,1019.0,7029.6,7001.0,6999.2,1429435160.0,8534.0,7029.0,IM2208
IM,2022-07-22 11:15:00,2022-07-22,778.0,7014.8,6996.6,6994.4,1089874960.0,9237.0,7001.0,IM2208
IM,2022-07-22 11:30:00,2022-07-22,1399.0,6996.6,6940.2,6924.2,1948265560.0,10239.0,6996.6,IM2208
IM,2022-07-22 13:15:00,2022-07-22,1068.0,6973.8,6973.6,6939.2,1486543960.0,11097.0,6939.8,IM2208
IM,2022-07-22 13:30:00,2022-07-22,717.0,6973.6,6957.4,6944.8,998363960.0,11733.0,6973.6,IM2208
IM,2022-07-22 13:45:00,2022-07-22,2329.0,6957.4,6885.8,6885.2,3219188200.0,13322.0,6957.4,IM2208
IM,2022-07-22 14:00:00,2022-07-22,1489.0,6912.0,6911.2,6857.0,2050741720.0,14256.0,6885.8,IM2208
IM,2022-07-22 14:15:00,2022-07-22,937.0,6920.0,6896.0,6886.0,1293448360.0,14893.0,6911.2,IM2208
IM,2022-07-22 14:30:00,2022-07-22,1097.0,6926.8,6926.8,6883.2,1514349400.0,15773.0,6896.0,IM2208
IM,2022-07-22 14:45:00,2022-07-22,1354.0,6979.4,6971.8,6926.8,1883257040.0,16748.0,6926.8,IM2208
IM,2022-07-22 15:00:00,2022-07-22,1145.0,6980.0,6956.6,6952.6,1595599480.0,17517.0,6972.0,IM2208
IM,2022-07-25 09:45:00,2022-07-25,3756.0,7015.8,7001.8,6964.4,5253838320.0,16483.0,6974.2,IM2208
IM,2022-07-25 10:00:00,2022-07-25,2404.0,7004.6,6955.0,6944.0,3351038240.0,16046.0,7001.8,IM2208
IM,2022-07-25 10:15:00,2022-07-25,1167.0,6978.2,6953.6,6944.4,1624663720.0,15882.0,6955.2,IM2208
IM,2022-07-25 10:30:00,2022-07-25,1065.0,6973.6,6971.8,6938.0,1481668680.0,15702.0,6953.6,IM2208
IM,2022-07-25 10:45:00,2022-07-25,793.0,6974.2,6961.8,6956.8,1104530480.0,15622.0,6971.8,IM2208
IM,2022-07-25 11:00:00,2022-07-25,753.0,6965.0,6964.8,6943.2,1047497880.0,15626.0,6961.8,IM2208
IM,2022-07-25 11:15:00,2022-07-25,1089.0,6977.6,6936.6,6933.8,1515056560.0,15651.0,6964.8,IM2208
IM,2022-07-25 11:30:00,2022-07-25,1350.0,6936.6,6886.8,6883.0,1866015880.0,15700.0,6936.6,IM2208
IM,2022-07-25 13:15:00,2022-07-25,2234.0,6898.0,6878.0,6868.0,3074891600.0,16355.0,6886.6,IM2208
IM,2022-07-25 13:30:00,2022-07-25,1670.0,6881.6,6866.0,6857.4,2294019360.0,16843.0,6878.0,IM2208
IM,2022-07-25 13:45:00,2022-07-25,1104.0,6888.6,6886.4,6850.0,1517438760.0,17085.0,6866.2,IM2208
IM,2022-07-25 14:00:00,2022-07-25,785.0,6884.6,6874.2,6860.0,1078357680.0,17327.0,6884.6,IM2208
IM,2022-07-25 14:15:00,2022-07-25,1142.0,6898.6,6887.8,6860.4,1571335000.0,17534.0,6874.4,IM2208
IM,2022-07-25 14:30:00,2022-07-25,657.0,6901.6,6883.2,6875.4,904884440.0,17772.0,6887.8,IM2208
IM,2022-07-25 14:45:00,2022-07-25,1846.0,6912.4,6887.2,6863.2,2544926480.0,18439.0,6883.2,IM2208
IM,2022-07-25 15:00:00,2022-07-25,1068.0,6888.6,6878.6,6871.0,1469541680.0,18747.0,6887.2,IM2208
